data e hora,Dióxido de Nitrogênio
13/01/2023 01:30:00,6.69
13/01/2023 02:30:00,6.21
13/01/2023 03:30:00,7.86
13/01/2023 04:30:00,14.43
13/01/2023 05:30:00,13.09
13/01/2023 06:30:00,10.47
13/01/2023 07:30:00,10.54
13/01/2023 08:30:00,9.75
13/01/2023 09:30:00,8.58
13/01/2023 10:30:00,11.24
13/01/2023 11:30:00,8.72
13/01/2023 12:30:00,7.65
13/01/2023 13:30:00,5.84
13/01/2023 14:30:00,4.16
13/01/2023 15:30:00,5.74
13/01/2023 16:30:00,6.38
13/01/2023 17:30:00,9.44
13/01/2023 18:30:00,11.26
13/01/2023 19:30:00,13.13
13/01/2023 20:30:00,16.53
13/01/2023 21:30:00,20.64
13/01/2023 22:30:00,13.06
13/01/2023 23:30:00,13.67
14/01/2023 00:30:00,15.81
14/01/2023 01:30:00,9.22
14/01/2023 02:30:00,6.79
14/01/2023 03:30:00,5.20
14/01/2023 04:30:00,06.06
14/01/2023 05:30:00,10.26
14/01/2023 06:30:00,10.05
14/01/2023 07:30:00,06.01
14/01/2023 08:30:00,6.95
14/01/2023 09:30:00,7.99
14/01/2023 10:30:00,7.60
14/01/2023 11:30:00,5.46
14/01/2023 12:30:00,5.57
14/01/2023 13:30:00,4.61
14/01/2023 14:30:00,2.70
14/01/2023 15:30:00,3.68
14/01/2023 16:30:00,2.43
14/01/2023 17:30:00,4.56
14/01/2023 18:30:00,6.34
14/01/2023 19:30:00,8.15
14/01/2023 20:30:00,10.45
14/01/2023 21:30:00,13.09
14/01/2023 22:30:00,13.04
14/01/2023 23:30:00,14.84
15/01/2023 00:30:00,16.66
15/01/2023 01:30:00,9.42
15/01/2023 02:30:00,5.97
15/01/2023 03:30:00,10.12
15/01/2023 04:30:00,15.32
15/01/2023 05:30:00,10.49
15/01/2023 06:30:00,5.77
15/01/2023 07:30:00,5.29
15/01/2023 08:30:00,06.04
15/01/2023 09:30:00,7.19
15/01/2023 10:30:00,5.37
15/01/2023 11:30:00,3.82
15/01/2023 12:30:00,6.60
15/01/2023 13:30:00,4.10
15/01/2023 14:30:00,3.73
15/01/2023 15:30:00,3.32
15/01/2023 16:30:00,2.64
15/01/2023 17:30:00,5.44
15/01/2023 18:30:00,7.53
15/01/2023 19:30:00,10.59
15/01/2023 20:30:00,11.62
15/01/2023 21:30:00,13.44
15/01/2023 22:30:00,15.67
15/01/2023 23:30:00,12.06
16/01/2023 00:30:00,12.53
16/01/2023 01:30:00,6.60
16/01/2023 02:30:00,08.06
16/01/2023 03:30:00,6.67
16/01/2023 04:30:00,3.85
16/01/2023 05:30:00,11.48
16/01/2023 06:30:00,15.72
16/01/2023 07:30:00,12.92
16/01/2023 08:30:00,8.90
16/01/2023 09:30:00,8.33
16/01/2023 10:30:00,4.77
16/01/2023 11:30:00,4.63
16/01/2023 12:30:00,4.63
16/01/2023 13:30:00,04.05
16/01/2023 14:30:00,5.70
16/01/2023 15:30:00,6.75
16/01/2023 16:30:00,4.64
16/01/2023 17:30:00,4.46
16/01/2023 18:30:00,9.76
16/01/2023 19:30:00,16.11
16/01/2023 20:30:00,16.89
16/01/2023 21:30:00,16.82
16/01/2023 22:30:00,15.60
16/01/2023 23:30:00,15.50
17/01/2023 00:30:00,15.16
17/01/2023 01:30:00,11.56
17/01/2023 02:30:00,08.09
17/01/2023 03:30:00,9.40
17/01/2023 04:30:00,9.91
17/01/2023 05:30:00,10.25
17/01/2023 06:30:00,12.43
17/01/2023 07:30:00,09.02
17/01/2023 08:30:00,12.74
17/01/2023 09:30:00,12.74
17/01/2023 10:30:00,8.28
17/01/2023 11:30:00,4.73
17/01/2023 12:30:00,4.64
17/01/2023 13:30:00,4.56
17/01/2023 14:30:00,4.47
17/01/2023 15:30:00,5.23
17/01/2023 16:30:00,3.99
17/01/2023 17:30:00,6.51
17/01/2023 18:30:00,7.19
17/01/2023 19:30:00,9.63
17/01/2023 20:30:00,14.98
17/01/2023 21:30:00,12.27
17/01/2023 22:30:00,16.64
17/01/2023 23:30:00,13.77
18/01/2023 00:30:00,9.57
18/01/2023 01:30:00,15.16
18/01/2023 02:30:00,8.22
18/01/2023 03:30:00,8.14
18/01/2023 04:30:00,9.38
18/01/2023 05:30:00,09.05
18/01/2023 06:30:00,12.63
18/01/2023 07:30:00,13.32
18/01/2023 08:30:00,12.56
18/01/2023 09:30:00,10.95
18/01/2023 10:30:00,9.72
18/01/2023 11:30:00,6.83
18/01/2023 12:30:00,5.71
18/01/2023 13:30:00,5.59
18/01/2023 14:30:00,6.18
18/01/2023 15:30:00,5.51
18/01/2023 16:30:00,5.30
18/01/2023 17:30:00,7.48
18/01/2023 18:30:00,9.68
18/01/2023 19:30:00,10.37
18/01/2023 20:30:00,13.21
18/01/2023 21:30:00,13.51
18/01/2023 22:30:00,13.36
18/01/2023 23:30:00,7.39
19/01/2023 00:30:00,5.24
19/01/2023 01:30:00,7.85
19/01/2023 02:30:00,3.67
19/01/2023 03:30:00,5.95
19/01/2023 04:30:00,7.71
19/01/2023 05:30:00,13.82
19/01/2023 06:30:00,12.67
19/01/2023 07:30:00,9.91
19/01/2023 08:30:00,9.87
19/01/2023 09:30:00,9.96
19/01/2023 10:30:00,9.66
19/01/2023 11:30:00,12.24
19/01/2023 12:30:00,9.33
19/01/2023 13:30:00,6.74
19/01/2023 14:30:00,8.39
19/01/2023 15:30:00,4.61
19/01/2023 16:30:00,8.48
19/01/2023 17:30:00,9.96
19/01/2023 18:30:00,8.12
19/01/2023 19:30:00,11.25
19/01/2023 20:30:00,20.69
19/01/2023 21:30:00,22.22
19/01/2023 22:30:00,9.73
19/01/2023 23:30:00,17.26
20/01/2023 00:30:00,18.53
20/01/2023 01:30:00,11.89
20/01/2023 02:30:00,13.26
20/01/2023 03:30:00,10.88
20/01/2023 04:30:00,12.66
20/01/2023 05:30:00,18.07
20/01/2023 06:30:00,15.34
20/01/2023 07:30:00,14.30
20/01/2023 08:30:00,10.35
20/01/2023 09:30:00,10.05
20/01/2023 10:30:00,9.56
20/01/2023 11:30:00,8.73
20/01/2023 12:30:00,10.20
20/01/2023 13:30:00,7.85
20/01/2023 14:30:00,8.44
20/01/2023 15:30:00,13.50
20/01/2023 16:30:00,23.87
20/01/2023 17:30:00,23.55
20/01/2023 18:30:00,23.03
20/01/2023 19:30:00,22.62
20/01/2023 20:30:00,21.77
20/01/2023 21:30:00,19.12
20/01/2023 22:30:00,14.31
20/01/2023 23:30:00,17.80
21/01/2023 00:30:00,20.99
21/01/2023 01:30:00,12.92
21/01/2023 02:30:00,7.99
21/01/2023 03:30:00,13.56
